2026-01-22 19:22:25 | INFO     | rapport_extraktor    | [LOGG] Loggfil skapad: C:\Users\OskarHörnell\databok-new\alla_rapporter\abgsc\ligger_i_databasen\extraction_run_20260122_192225.log
2026-01-22 19:22:26 | INFO     | batch_mistral_v2     | [BATCH] Startar extraktion av 1 PDFs med Mistral v2
2026-01-22 19:22:26 | INFO     | extraction           | ============================================================
2026-01-22 19:22:26 | INFO     | extraction           | [START] Extraherar: abgsc-2025-q3-en.pdf
2026-01-22 19:22:26 | INFO     | extraction           | [START] Bolag: abgsc | Pipeline: mistral-v2-annotations
2026-01-22 19:22:26 | INFO     | extraction           | ============================================================
2026-01-22 19:22:26 | DEBUG    | pipeline_mistral_v2  | [SPLIT] Delar upp abgsc-2025-q3-en...
2026-01-22 19:22:26 | INFO     | pipeline_mistral_v2  | [SPLIT] Uppdelad i 28 sidor
2026-01-22 19:22:26 | INFO     | pipeline_mistral_v2  | [OCR] Bearbetar 28 sidor med annotations...
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 1/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 2/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 3/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 4/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 5/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 6/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 7/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 8/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 9/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 10/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 11/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 12/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 13/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 14/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 15/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 16/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 17/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 18/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 19/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 20/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 21/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 22/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 23/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 24/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 25/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 26/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 27/28 klar
2026-01-22 19:22:47 | INFO     | ocr                  | [OCR] Sida 28/28 klar
2026-01-22 19:22:47 | INFO     | pipeline_mistral_v2  | [OCR] Klar: 20.7s | 28 sidor bearbetade
2026-01-22 19:22:47 | DEBUG    | api                  | [API] mistral-ocr-latest - ocr-batch
2026-01-22 19:22:47 | INFO     | pixtral              | [PIXTRAL] Analyserar 30 grafer för datapunkter...
2026-01-22 19:23:06 | INFO     | pixtral              | [PIXTRAL] 30/30 grafer fick datapunkter
2026-01-22 19:23:06 | INFO     | pipeline_mistral_v2  | [PIXTRAL] Grafanalys klar: 19.4s
2026-01-22 19:23:06 | INFO     | validation           | [VALIDERING] OK - 14/14 tabeller
2026-01-22 19:23:06 | INFO     | extraction           | [RESULTAT] abgsc-2025-q3-en.pdf
2026-01-22 19:23:06 | INFO     | extraction           |    Tabeller: 14 | Sektioner: 26 | Grafer: 30
2026-01-22 19:23:06 | INFO     | extraction           |    Kostnad: 0.2940 SEK | Tid: 40.1s
2026-01-22 19:23:07 | INFO     | embeddings           | [EMBEDDING] Genererar embeddings för 26 sektioner (3 batchar)
2026-01-22 19:23:10 | DEBUG    | embeddings           | [EMBEDDING] Batch 1/3: 10 sektioner OK
2026-01-22 19:23:10 | INFO     | embeddings           | [EMBEDDING] Batch 1: 10/26 sektioner
2026-01-22 19:23:12 | DEBUG    | embeddings           | [EMBEDDING] Batch 2/3: 10 sektioner OK
2026-01-22 19:23:12 | INFO     | embeddings           | [EMBEDDING] Batch 2: 20/26 sektioner
2026-01-22 19:23:15 | DEBUG    | embeddings           | [EMBEDDING] Batch 3/3: 6 sektioner OK
2026-01-22 19:23:15 | INFO     | embeddings           | [EMBEDDING] Batch 3: 26/26 sektioner
2026-01-22 19:23:15 | INFO     | embeddings           | [EMBEDDING] Klart: 26/26 sektioner fick embeddings
2026-01-22 19:23:15 | INFO     | pipeline_mistral_v2  | [EMBEDDING] 26/26 sektioner fick embeddings
2026-01-22 19:23:16 | WARNING  | pipeline_mistral_v2  | [FIL] Kunde inte flytta PDF: 'NoneType' object is not iterable
2026-01-22 19:23:16 | INFO     | batch_mistral_v2     | [BATCH] 1/1 klar: abgsc-2025-q3-en.pdf
2026-01-22 19:23:16 | INFO     | batch_mistral_v2     | [BATCH] Klart! 1 lyckade, 0 misslyckade
